irrT,skew_RL,skew_NL,skew_k,vc_RL,vc_NL,vc_k,percentile_5_RL,percentile_5_NL,percentile_5_k,percentile_95_RL,percentile_95_NL,percentile_95_k,mean_RL,mean_NL,mean_k,kurt_RL,kurt_NL,kurt_k,median_RL,median_NL,median_k,max_RL,max_NL,max_k,min_RL,min_NL,min_k,samp_RL,samp_NL,samp_k,var_RL,var_NL,var_k,sigma_RL,sigma_NL,sigma_k,nsen_RL_damage,nsen_NL_damage,nsen_k_damage,sen_RL_damage,sen_NL_damage,sen_k_damage,pear_RL_damage,pear_NL_damage,pear_k_damage,cov_RL_damage,cov_NL_damage,cov_k_damage,vsen_RL_damage,vsen_NL_damage,vsen_k_damage
100,nan,0.8790506676494063,3.09293007737,0.0,4.46410077115e-06,0.468373085301,0.497555504617,1.00000008168e-12,1.35727677081,0.497555504617,1.0000113777e-12,2.79040640953,0.497555504617,1.00000449044e-12,1.69037979088,nan,-1.0603288605519743,6.7478311156,0.497555504617,1.00000310646e-12,1.43082506697,0.497555504617,1.00001256898e-12,3.92999549646,0.497555504617,1e-12,1.35192881905,10.0,10.0,10.0,0.0,1.9928374668e-35,0.626833856172,0.0,4.46412081691e-18,0.791728397983,0.0,1.0773916565e-05,-0.656306751567,6.82798576127e-32,1.33223861985e-17,-1.94538713101,nan,0.8978890634235331,-0.739275678333,0.0,1.2059664448e-18,-0.176099954407,0.0,1.88925435888e-17,-1.94538713101
110,nan,0.8834574060987838,3.0927562137,0.0,3.69597039555e-05,0.46833289055,0.497555504617,1.00000067121e-12,1.35733867439,0.497555504617,1.00009418407e-12,2.79068108503,0.497555504617,1.00003711582e-12,1.69052067249,nan,-1.054506266834665,6.7471805997,0.497555504617,1.00002559681e-12,1.43094050078,0.497555504617,1.00010407975e-12,3.93009541349,0.497555504617,1e-12,1.35198763918,10.0,10.0,10.0,0.0,1.36612112023e-33,0.626830744842,0.0,3.6961075745e-17,0.791726433083,0.0,8.91996831303e-05,-0.656323523883,6.82798576127e-32,1.10237095117e-16,-1.94559898544,nan,0.8973456465348344,-0.739358021055,0.0,9.97886082139e-18,-0.176119131852,0.0,1.56420728879e-16,-1.94559898544
120,nan,0.8793716243974442,3.09265238224,0.0,0.000273266559055,0.468329352084,0.497555504617,1.00000499095e-12,1.35737822705,0.497555504617,1.00069639239e-12,2.79092687537,0.497555504617,1.00027475267e-12,1.69062475956,nan,-1.0661977483179186,6.74679174046,0.497555504617,1.00018963151e-12,1.43101427377,0.497555504617,1.00076871327e-12,3.93029930934,0.497555504617,1e-12,1.3520252211,10.0,10.0,10.0,0.0,7.47156520336e-32,0.626898463316,0.0,2.73341639773e-16,0.791769198262,0.0,0.000659612143313,-0.656361911332,6.82798576127e-32,8.15546550854e-16,-1.94583258031,nan,0.8976758928942664,-0.739406851627,0.0,7.38247457963e-17,-0.176140277282,0.0,1.15697193492e-15,-1.94583258031
130,0.46866130728194666,0.8509435582636778,3.09259868958,4.26170006453e-15,0.00173393475413,0.46836850092,0.497555504617,1.00003337468e-12,1.35740403841,0.497555504617,1.00444286538e-12,2.79121847336,0.497555504617,1.0017728182e-12,1.69071893087,-1.353503058877798,-1.1033769216660738,6.74658997986,0.497555504617,1.00125118993e-12,1.43106242413,0.497555504617,1.0048811938e-12,3.93069449274,0.497555504617,1e-12,1.35204974613,10.0,10.0,10.0,4.49623324972e-30,3.01719924203e-30,0.627073128469,2.12043232614e-15,1.73700870522e-15,0.791879491128,1.00571623245e-14,0.00418523422649,-0.656438676155,6.56703032037e-15,5.20697516239e-15,-1.9461685548,0.9317967845491697,0.9019035856767755,-0.739431518021,5.944594377e-16,4.7134478998e-16,-0.176170690299,8.77469177e-15,7.35197271383e-15,-1.9461685548
140,0.4700692283433459,0.8748968609442385,3.09258761703,2.62020384897e-14,0.0103524572912,0.468466572827,0.497555504617,1.00020412674e-12,1.35742121664,0.497555504617,1.02671037333e-12,2.79164023234,0.497555504617,1.01057817028e-12,1.69082714586,-1.3006386465727964,-1.062398359301852,6.74654691755,0.497555504617,1.00737985956e-12,1.43109447294,0.497555504617,1.02949441178e-12,3.93141281406,0.497555504617,1e-12,1.35206606817,10.0,10.0,10.0,1.6996254722e-28,1.09452760775e-28,0.627416070469,1.30369684827e-14,1.04619673473e-14,0.792095998266,6.13168271959e-14,0.024975877899,-0.656579542537,4.12990575814e-14,3.12582807584e-14,-1.94671077854,0.953103640252545,0.8989350825260536,-0.739435363259,3.73846523461e-15,2.82955599359e-15,-0.176219773371,5.34978199216e-14,4.42594028418e-14,-1.94671077854
150,0.43277583837193484,0.8786543101551686,3.09261918377,1.48857013729e-13,0.0554744701676,0.468647092418,0.497555504617,1.00109958045e-12,1.35743286026,0.497555504617,1.14978145571e-12,2.79228668815,0.497555504617,1.05914240897e-12,1.69097261439,-1.3215023922259674,-1.0626245022849765,6.74666225359,0.497555504617,1.0409211172e-12,1.43111619762,0.497555504617,1.16540320772e-12,3.93262083416,0.497555504617,1e-12,1.35207713138,10.0,10.0,10.0,5.48556891068e-27,3.45219279519e-27,0.628007748493,7.40646265817e-14,5.87553639695e-14,0.792469399089,3.47746188871e-13,0.133888784031,-0.656817181229,2.35161029576e-13,1.75361321826e-13,-1.94758290387,0.9552809513210527,0.8979722004751259,-0.739418061888,2.12872008489e-14,1.58740233684e-14,-0.176298719729,3.03402244399e-13,2.48664294639e-13,-1.94758290387
160,0.4147061994832188,0.8674713298605145,3.09269510196,7.64611762242e-13,0.230984387538,0.46892988808,0.497555504617,1.00560022606e-12,1.35744088784,0.497555504618,1.76860551593e-12,2.79323311194,0.497555504618,1.30468643833e-12,1.6911730534,-1.3300539659679331,-1.0771811764584212,6.74694208452,0.497555504618,1.21245793959e-12,1.43113117677,0.497555504618,1.8480080109e-12,3.93445513666,0.497555504617,1.00000000001e-12,1.35208475872,10.0,10.0,10.0,1.44732152098e-25,9.08191743153e-26,0.628914964508,3.80436791199e-13,3.01362197887e-13,0.793041590655,1.78438224247e-12,0.557642925065,-0.65717838385,1.20986099126e-12,9.00898477965e-13,-1.94888491882,0.9568185066278598,0.8994223619637284,-0.739378526005,1.09518800656e-13,8.15509562936e-14,-0.176416580473,1.55684115184e-12,1.27578420037e-12,-1.94888491882
170,0.42380278629798135,0.8766283685130011,3.0928102093,3.64655025549e-12,0.586909205122,0.469309610233,0.497555504617,1.02685691016e-12,1.35744650963,0.497555504622,4.66973362843e-12,2.79447065781,0.49755550462,2.45109737891e-12,1.69142837603,-1.3201966640531053,-1.0630106940416055,6.74736715684,0.497555504619,2.00620695862e-12,1.43114166991,0.497555504622,5.05215094437e-12,3.93688920844,0.497555504617,1.00000000005e-12,1.35209009998,10.0,10.0,10.0,3.29190639166e-24,2.06948828956e-24,0.630124142497,1.81436115249e-12,1.43857161433e-12,0.79380359189,8.50537340446e-12,1.4161820731,-0.657657790933,5.76753076737e-12,4.29595068202e-12,-1.95060106185,0.9564070831624428,0.8984717010695835,-0.739319224042,5.22087295112e-13,3.88877209672e-13,-0.176571928838,7.42078407459e-12,6.08687709735e-12,-1.95060106185
180,0.4302452025809794,0.8795339081147214,3.09294836976,1.63486132182e-11,0.861257675567,0.469745523064,0.497555504618,1.12103774397e-12,1.35745049912,0.497555504639,1.74584187813e-11,2.79587574537,0.497555504628,7.49669156118e-12,1.69171494599,-1.3210116854406855,-1.0615359207706374,6.74787767857,0.497555504626,5.49203605303e-12,1.43114912844,0.497555504641,1.91765328144e-11,3.93967021358,0.497555504617,1.00000000022e-12,1.3520938893,10.0,10.0,10.0,6.61675279033e-23,4.16874659526e-23,0.631509185547,8.13434249975e-12,6.45658314843e-12,0.794675522177,3.81492183669e-11,2.07823403157,-0.658205468931,2.58410848016e-11,1.92676927987e-11,-1.95255622031,0.9557952967311554,0.8978495463128408,-0.739248265028,2.33918163786e-12,1.74414632918e-12,-0.17674891331,3.32845012979e-11,2.73198914772e-11,-1.95255622031
190,0.4316559632284885,0.8799202529376269,3.09308705449,6.88108837187e-11,0.959448104047,0.470175664608,0.49755550462,1.49861617337e-12,1.35745334381,0.49755550471,7.02725070742e-11,2.79725571981,0.497555504661,2.83312150263e-11,1.69199493075,-1.3215279741774661,-1.0613618922384527,6.74839025557,0.497555504656,1.9887343323e-11,1.43115449544,0.497555504717,7.75067295523e-11,3.94240912973,0.497555504617,1.00000000092e-12,1.35209658691,10.0,10.0,10.0,1.17218819025e-21,7.38879093712e-22,0.632875683372,3.42372339749e-11,2.71823305423e-11,0.79553484108,1.60638383433e-10,2.31528487897,-0.658744743166,1.08741776992e-10,8.11071216138e-11,-1.95447938856,0.955596075206093,0.8977365398899789,-0.739177080946,9.84350192572e-12,7.34196304201e-12,-0.176923001972,1.40154076836e-10,1.15022952298e-10,-1.95447938856
200,0.43242286257788204,0.8800177469621029,3.0932078803,2.72591708245e-10,0.98566971033,0.470548423138,0.497555504628,2.96046302323e-12,1.35745530044,0.497555504987,2.75448961217e-10,2.7984493037,0.497555504793,1.09267380995e-10,1.69223651054,-1.321814008457639,-1.0613201323535617,6.74883686446,0.497555504772,7.58070098869e-11,1.43115837604,0.497555505012,3.04113238709e-10,3.94478093595,0.497555504617,1.00000000362e-12,1.35209842553,10.0,10.0,10.0,1.83953626261e-20,1.15996233929e-20,0.634060598769,1.35629504998e-10,1.07701547774e-10,0.796279221611,6.36505004389e-10,2.37850416267,-0.659211675731,4.30727121725e-10,3.21350557201e-10,-1.95614402057,0.9554866966309218,0.8977051468786331,-0.739115050155,3.89901964954e-11,2.90892324565e-11,-0.177073687465,5.55339075311e-10,4.55731790015e-10,-1.95614402057
210,0.4324500176975263,0.8800233220324928,3.09330448307,1.02024978648e-09,0.992336718479,0.470846752159,0.497555504658,8.33469687839e-12,1.35745630948,0.497555506,1.02820235032e-09,2.79940364445,0.497555505274,4.06217976647e-10,1.69242930922,-1.3218222828733832,-1.0613176802302338,6.74919396595,0.497555505197,2.80981711265e-10,1.43116109853,0.497555506096,1.13548711704e-09,3.94667826985,0.497555504617,1.00000001354e-12,1.35209930921,10.0,10.0,10.0,2.57689128624e-19,1.62493652258e-19,0.635009516211,5.07630898019e-10,4.03105013933e-10,0.796874843505,2.38222695237e-09,2.3944703968,-0.659585351404,1.61210878801e-09,1.20274752729e-09,-1.9574758577,0.9554828568554337,0.8977034104369391,-0.739065449673,1.45930997251e-10,1.08874877058e-10,-0.177194247766,2.07844982376e-09,1.70562473503e-09,-1.9574758577
220,0.43245576145531395,0.8800248751606093,3.09337810211,3.61955773671e-09,0.994097642139,0.471076546594,0.497555504762,2.70183187109e-11,1.35745556793,0.497555509522,3.64523089443e-09,2.8001375722,0.497555506946,1.43859845221e-09,1.6925769004,-1.3218276314001836,-1.0613170201638729,6.74946618833,0.497555506674,9.94293251743e-10,1.43116262886,0.497555509864,4.02584836044e-09,3.94813767958,0.497555504617,1.00000004802e-12,1.35209834372,10.0,10.0,10.0,3.24335205113e-18,2.04520697338e-18,0.635740361123,1.80093088461e-09,1.43010732932e-09,0.797333281083,8.45125286808e-09,2.39862386916,-0.659873558259,5.71929882506e-09,4.26701984526e-09,-1.95850195945,0.9554816368506096,0.8977029094449794,-0.739027706654,5.17721252639e-10,3.8625833811e-10,-0.177287132349,7.37356492239e-09,6.05085317141e-09,-1.95850195945
230,0.4324644564819381,0.8800253433076755,3.0934318918,1.22108154928e-08,0.994585142331,0.471252264125,0.497555505105,8.87714235499e-11,1.35745014741,0.497555521163,1.22950787915e-08,2.80069525008,0.497555512473,4.85083989302e-09,1.6926869714,-1.3218290402136201,-1.0613168417678744,6.74966536675,0.497555511556,3.35194238604e-09,1.43116214187,0.497555522317,1.35791202442e-08,3.94924678887,0.497555504617,1.00000016198e-12,1.35209233109,10.0,10.0,10.0,3.69124118189e-17,2.32765073864e-17,0.636297478853,6.07555856024e-09,4.82457328542e-09,0.797682567726,2.8510306776e-08,2.39972917931,-0.660095285045,1.92944080707e-08,1.43951058992e-08,-1.95928745095,0.955480549585749,0.8977027567782944,-0.739000373828,1.74656464382e-09,1.3030709683e-09,-0.177358236458,2.48747261012e-08,2.04123989395e-08,-1.95928745095
240,0.4324690942765897,0.8800253924321199,3.09346676234,3.9287290867e-08,0.994726771649,0.471390791934,0.497555506186,2.8339420298e-10,1.35743096226,0.497555557852,3.95562288124e-08,2.80112387772,0.497555529892,1.56049744262e-08,1.69276515805,-1.3218309473291179,-1.06131692372198,6.74979539677,0.497555526943,1.07823889787e-08,1.43115667934,0.497555561566,4.36875310724e-08,3.95009970685,0.497555504617,1.00000052207e-12,1.35207138512,10.0,10.0,10.0,3.82109010789e-16,2.40953775458e-16,0.636730439947,1.95476088253e-08,1.55226858326e-08,0.79795390841,9.17284097046e-08,2.40002346332,-0.660274226149,6.20781236524e-08,4.63151214574e-08,-1.95990910762,0.9554798759085019,0.8977027218040988,-0.738983475598,5.61942380034e-09,4.19252839036e-09,-0.177414509941,8.00313782981e-08,6.56739931825e-08,-1.95990910762
250,0.432470406192209,0.8800251032180465,3.09347446738,1.20880914177e-07,0.994769717398,0.471507689498,0.497555509443,8.69881581917e-10,1.35737165828,0.497555668411,1.21706351125e-07,2.80145367102,0.497555582385,4.80120315956e-08,1.69280630681,-1.3218316994112578,-1.0613173604113968,6.74982732234,0.497555573309,3.31736832043e-08,1.43113740211,0.497555679839,1.34417727484e-07,3.95075723513,0.497555504617,1.0000016095e-12,1.35200685377,10.0,10.0,10.0,3.61741785567e-15,2.28110501138e-15,0.637077249332,6.01449736525e-08,4.7760915102e-08,0.798171190492,2.8223322267e-07,2.40011216381,-1.90126454999,1.91004758337e-07,1.42504505647e-07,-1.96044058535,0.9554796681846354,0.8977027571183231,-0.738982644944,1.72900954769e-08,1.28997650633e-08,-0.177462620265,2.46243407768e-07,2.02067512829e-07,-5.64371005447
260,0.43247318530521367,0.8800241845059894,3.09342620387,3.56576295643e-07,0.994783029992,0.47162736136,0.497555518853,2.56403664237e-09,1.35719941162,0.497555987779,3.59009418585e-07,2.80170863376,0.497555734017,1.41624766212e-07,1.69278415676,-1.3218334887335017,-1.0613186946887312,6.74965889075,0.497555707244,9.78544125009e-08,1.43107968567,0.497556021489,3.9650559708e-07,3.95126920978,0.497555504617,1.00000475002e-12,1.35181959162,10.0,10.0,10.0,3.14766430405e-14,1.9848840779e-14,0.637383999033,1.77416580512e-07,1.40885914055e-07,0.798363325206,3.58546360262e-07,-1.78207188004,-1.90167556566,5.63428543468e-07,4.20362136322e-07,-1.96100234737,0.9554792118724682,0.8977028809773662,-0.739016504503,5.10025687097e-08,3.80519393085e-08,-0.177513471976,3.12825342336e-07,-4.42567275588e-07,-5.64485624977
270,0.43247169368703636,0.8800212354193347,3.09324074826,1.01075876922e-06,0.994786149704,0.471799285041,0.497555544971,7.26625916619e-09,1.35672175325,0.497556874198,1.01765254086e-06,2.80190394627,0.49755615488,4.01450675045e-07,1.69261945908,-1.3218348918833627,-1.0613229614341746,6.74900104861,0.497556078987,2.77378897646e-07,1.4309181036,0.497556969754,1.12393943574e-06,3.95167139229,0.497555504617,1.00001409784e-12,1.35130052915,10.0,10.0,10.0,2.52917710439e-13,1.59486469774e-13,0.637724666948,5.02909246722e-07,3.99357571324e-07,0.79857665064,1.01634537651e-06,-1.78202575996,-4.67720694758,1.59710801805e-06,1.1915661015e-06,-1.96184541911,0.9554792755792747,0.8977032955535506,-0.739136721698,1.44573100479e-07,1.07862714214e-07,-0.177589788353,8.86744071358e-07,-1.25447220999e-06,-13.8822796987
280,0.43246571607676143,0.880009824904605,3.09270850095,2.75917381623e-06,0.994782500009,0.472138736624,0.497555614774,1.98339229924e-08,1.35545329162,0.497559243313,2.77796964895e-06,2.80204556828,0.497557279715,1.09587659205e-06,1.69210500849,-1.321837892701966,-1.061340847406967,6.74710755801,0.497557072544,7.57191690856e-07,1.43048595846,0.497559504161,3.06810486684e-06,3.95198987885,0.497555504617,1.00003887315e-12,1.34992309104,10.0,10.0,10.0,1.88470893556e-12,1.18844633118e-12,0.638254505275,1.37284701827e-06,1.09015885594e-06,0.798908320945,2.77447173789e-06,-1.78191085104,-4.67927934017,4.35980456843e-06,3.25272050412e-06,-1.96355817254,0.9554797335551805,0.8977048316321693,-0.739474887798,3.94657378722e-07,2.94442131e-07,-0.177744829884,2.42068492022e-06,-3.42422660883e-06,-13.8842094905
290,0.4324484009293993,0.8799217968987124,3.09131927577,7.26799186994e-06,0.994748519076,0.472916930245,0.49755579479,5.22445563568e-08,1.3522395738,0.497565352857,7.31697519589e-06,2.80212557507,0.497560180493,2.88654789048e-06,1.6907381457,-1.3218449264612875,-1.0615022704848789,6.74216244643,0.497559634796,1.9945460246e-06,1.42937621831,0.497566039953,8.08104544107e-06,3.95224402064,0.497555504618,1.00010341726e-12,1.34643920615,10.0,10.0,10.0,1.30773605922e-11,8.24487616354e-12,0.639326087439,3.61626334663e-06,2.8713892393e-06,0.799578693712,7.308114255e-06,-1.78139450949,-4.6841422008,1.14843280063e-05,8.56750144618e-06,-1.96751205708,0.9554811880837484,0.8977154928761262,-0.740342688759,1.03958209966e-06,7.75545694739e-07,-0.178102742649,6.37625709713e-06,-9.01682729457e-06,-13.8874112577
300,0.43240455181765947,0.8783324713771826,3.08791617447,1.85077725709e-05,0.99426792079,0.474739099658,0.497556243582,1.33046119929e-07,1.34458218111,0.49758058338,1.86137107405e-05,2.80210921936,0.497567411996,7.34581175311e-06,1.68739445025,-1.3218619658178699,-1.065245743751024,6.73005056637,0.497566022501,5.07893703661e-06,1.42664336441,0.497582333004,2.05464483615e-05,3.95244829819,0.497555504619,1.00026616292e-12,1.33817847517,10.0,10.0,10.0,8.48031853782e-11,5.33441064097e-11,0.641716544773,9.20886449994e-06,7.30370497828e-06,0.80107212208,1.8576109373e-05,-1.77496266966,-4.70918984943,2.92451138557e-05,2.17962917102e-05,-1.97666789791,0.9554849177779059,0.8978752324050159,-0.742401248192,2.64732049191e-06,1.97303966662e-06,-0.178931545886,1.62077064725e-05,-2.28635620718e-05,-13.9340604529
310,0.43229940428320607,0.8514468296087411,3.08041977074,4.56383762721e-05,0.984612675226,0.478741564622,0.497557327109,3.28125141417e-07,1.32846037044,0.497617349101,4.48399447743e-05,2.80190529917,0.497584869258,1.78551404712e-05,1.6799876664,-1.3219025452492608,-1.116313973035387,6.70335358166,0.497581443551,1.2513870907e-05,1.42024847732,0.497621663199,4.92531561611e-05,3.95261363507,0.497555504621,1.00065432614e-12,1.32106887067,10.0,10.0,10.0,5.1569711365e-10,3.09070380686e-10,0.646866196082,2.27089654905e-05,1.75803976259e-05,0.804279923958,4.405770994e-05,-1.65453511278,-4.97783472622,7.21188279208e-05,5.26436996827e-05,-1.99590567845,0.9554938851119792,0.9009367693162178,-0.746636794022,6.52832647358e-06,4.76540271403e-06,-0.180672984504,3.84418216796e-05,-5.18029073251e-05,-14.6643035265
320,0.4320730031736198,0.6255020820718883,3.07004384039,0.000109143910295,0.900138967746,0.48547997502,0.497559864598,7.84959411684e-07,1.30683232458,0.497703420288,8.6071842805e-05,2.80130318449,0.497625741888,3.71282811707e-05,1.66745048551,-1.3219808542004843,-1.4018955002127376,6.66579854312,0.497617552678,2.94725412457e-05,1.4065950705,0.497713736139,9.16385057351e-05,3.95274833812,0.497555504626,1.00153930788e-12,1.29970658557,10.0,10.0,10.0,2.94988234389e-09,1.11693735239e-09,0.655312624858,5.4312819333e-05,3.34206126872e-05,0.809513820054,6.19136084342e-05,-0.617712487527,-3.09285714182,0.000172489449959,0.000102914618354,-2.02252414653,0.9555134232666528,0.9264868571216789,-0.751702596335,1.56140563435e-05,9.31601700816e-06,-0.18308253628,5.40261262363e-05,-4.02166693115e-05,-9.04331548308
