irrT,skew_RL,skew_NL,skew_k,vc_RL,vc_NL,vc_k,percentile_5_RL,percentile_5_NL,percentile_5_k,percentile_95_RL,percentile_95_NL,percentile_95_k,mean_RL,mean_NL,mean_k,kurt_RL,kurt_NL,kurt_k,median_RL,median_NL,median_k,max_RL,max_NL,max_k,min_RL,min_NL,min_k,samp_RL,samp_NL,samp_k,var_RL,var_NL,var_k,sigma_RL,sigma_NL,sigma_k,nsen_RL_damage,nsen_NL_damage,nsen_k_damage,sen_RL_damage,sen_NL_damage,sen_k_damage,pear_RL_damage,pear_NL_damage,pear_k_damage,cov_RL_damage,cov_NL_damage,cov_k_damage,vsen_RL_damage,vsen_NL_damage,vsen_k_damage
0,nan,nan,3.12025369796,0.0,0.0,0.493962151387,0.497555504617,1e-12,1.31721380475,0.497555504617,1e-12,2.74008968057,0.497555504617,1e-12,1.6369793195,nan,nan,6.84806905222,0.497555504617,1e-12,1.37252540405,0.497555504617,1e-12,3.92991340943,0.497555504617,1e-12,1.31324664904,10.0,10.0,10.0,0.0,0.0,0.653843382542,0.0,0.0,0.808605826434,0.0,0.0,-0.676914688459,6.82798576127e-32,-0.0,-1.9430859237,nan,nan,-0.722989086597,0.0,0.0,-0.175891644968,0.0,0.0,-1.9430859237
10,nan,nan,3.12236399215,0.0,0.0,0.486015287144,0.497555504617,1e-12,1.33430353076,0.497555504617,1e-12,2.74471763017,0.497555504617,1e-12,1.65230657813,nan,nan,6.8561054984,0.497555504617,1e-12,1.39147457601,0.497555504617,1e-12,3.9299134129,0.497555504617,1e-12,1.32999677482,10.0,10.0,10.0,0.0,0.0,0.644883289304,0.0,0.0,0.803046256018,0.0,0.0,-0.665175281088,6.82798576127e-32,-0.0,-1.9272657719,nan,nan,-0.722067252641,0.0,0.0,-0.174459576272,0.0,0.0,-1.9272657719
20,nan,nan,3.1172614286,0.0,0.0,0.478682521739,0.497555504617,1e-12,1.34525280072,0.497555504617,1e-12,2.75578028931,0.497555504617,1e-12,1.66730741212,nan,nan,6.83788993562,0.497555504617,1e-12,1.40906181298,0.497555504617,1e-12,3.9299134265,0.497555504617,1e-12,1.34048123559,10.0,10.0,10.0,0.0,0.0,0.636981035112,0.0,0.0,0.798110916547,0.0,0.0,-0.658727794428,6.82798576127e-32,-0.0,-1.92591246529,nan,nan,-0.726022191396,0.0,0.0,-0.174337072516,0.0,0.0,-1.92591246529
30,nan,0.8838663645124812,3.10858236497,0.0,3.56634481362e-14,0.474002177694,0.497555504617,1e-12,1.35093052683,0.497555504617,1e-12,2.76926315363,0.497555504617,1e-12,1.67748815662,nan,-1.0403436026678434,6.80603974116,0.497555504617,1e-12,1.41917551573,0.497555504617,1e-12,3.9299134751,0.497555504617,1e-12,1.34589234553,10.0,10.0,10.0,0.0,1.27188153296e-51,0.632236550174,0.0,3.56634481362e-26,0.795133039292,0.0,8.54314964087e-14,-0.656983502692,6.82798576127e-32,1.05762975226e-25,-1.93254137897,nan,0.8922507693584245,-0.731249537684,0.0,9.57385541332e-27,-0.174937133746,0.0,1.49807269474e-25,-1.93254137897
40,nan,0.8905273865062845,3.10198688322,0.0,8.32826540761e-13,0.471417672303,0.497555504617,1e-12,1.35386766683,0.497555504617,1e-12,2.77854062524,0.497555504617,1e-12,1.68331707333,nan,-1.0365276602556708,6.78159635975,0.497555504617,1e-12,1.42452209588,0.497555504617,1e-12,3.92991363478,0.497555504617,1e-12,1.34868777838,10.0,10.0,10.0,0.0,6.93600046997e-49,0.629714327979,0.0,8.32826540761e-25,0.793545416456,0.0,1.99895392178e-12,-0.656563346545,6.82798576127e-32,2.48158533326e-24,-1.93801635228,nan,0.8965019926353803,-0.73478833328,0.0,2.24637583481e-25,-0.175432738213,0.0,3.50523918479e-24,-1.93801635228
50,nan,0.881209261523093,3.09804801438,0.0,1.64427698788e-11,0.470030759672,0.497555504617,1e-12,1.35542161884,0.497555504617,1.00000000004e-12,2.78379897407,0.497555504617,1.00000000002e-12,1.68649553161,nan,-1.0632213703988513,6.76693834718,0.497555504617,1.00000000001e-12,1.42738158444,0.497555504617,1.00000000005e-12,3.92991412094,0.497555504617,1e-12,1.35016556704,10.0,10.0,10.0,0.0,2.70364681296e-46,0.628380861747,0.0,1.64427698791e-23,0.792704775908,0.0,3.9572304424e-11,-0.656412577797,6.82798576127e-32,4.90428204064e-23,-1.94122986339,nan,0.8973813960610775,-0.736787232389,0.0,4.43944462256e-24,-0.175723631039,0.0,6.93914905142e-23,-1.94122986339
60,nan,0.8803893183118218,3.09577280915,0.0,2.71352324772e-10,0.469271561889,0.497555504617,1e-12,1.35626690135,0.497555504617,1.00000000069e-12,2.78675229162,0.497555504617,1.00000000027e-12,1.68825101466,nan,-1.0640853789097668,6.75845268026,0.497555504617,1.00000000019e-12,1.42894723422,0.497555504617,1.00000000076e-12,3.92991550199,0.497555504617,1e-12,1.35096911757,10.0,10.0,10.0,0.0,7.36320841995e-44,0.627657195369,0.0,2.71352324846e-22,0.792248190512,0.0,6.53868005746e-10,-0.656349223581,6.82798576127e-32,8.09470397504e-22,-1.94306294643,nan,0.8975197763282702,-0.737907996178,0.0,7.3274721428e-23,-0.175889565024,0.0,1.14658158503e-21,-1.94306294643
70,nan,0.884956647266832,3.09445411874,0.0,3.81888645663e-09,0.468844822642,0.497555504617,1.00000000007e-12,1.35674116569,0.497555504617,1.00000000973e-12,2.78843917027,0.497555504617,1.00000000383e-12,1.68924397882,nan,-1.0538362268983135,6.75352823195,0.497555504617,1.00000000264e-12,1.42982802809,0.497555504617,1.00000001075e-12,3.92991918468,0.497555504617,1e-12,1.3514198447,10.0,10.0,10.0,0.0,1.45838938803e-41,0.627253377187,0.0,3.81888647126e-21,0.79199329365,0.0,9.20805449213e-09,-0.656320110346,6.82798576127e-32,1.13861062602e-20,-1.94411954333,nan,0.8970467709086634,-0.738546874152,0.0,1.03069088992e-21,-0.175985210082,0.0,1.61466621083e-20,-1.94411954333
80,nan,0.8764465778763486,3.09367845603,0.0,4.5864923337e-08,0.468599052294,0.497555504617,1.00000000083e-12,1.35701504747,0.497555504617,1.0000001169e-12,2.78942660975,0.497555504617,1.00000004617e-12,1.68982076964,nan,-1.063994182804481,6.75062948976,0.497555504617,1.00000003201e-12,1.4303374526,0.497555504617,1.0000001291e-12,3.92992829857,0.497555504617,1e-12,1.35168011958,10.0,10.0,10.0,0.0,2.10359138695e-39,0.627023906317,0.0,4.58649254545e-20,0.791848411198,0.0,1.1066298026e-07,-0.656306668285,6.82798576127e-32,1.36922707838e-19,-1.94474353016,nan,0.8981965649171353,-0.738919092379,0.0,1.23944906509e-20,-0.176041694496,0.0,1.94051612893e-19,-1.94474353016
90,nan,0.878138671866577,3.09321348195,0.0,4.81297551175e-07,0.468455387453,0.497555504617,1.00000000876e-12,1.3571776588,0.497555504617,1.00000122659e-12,2.79002419143,0.497555504617,1.00000048433e-12,1.6901657978,nan,-1.064467381944237,6.74889105099,0.497555504617,1.00000033497e-12,1.43064031965,0.497555504617,1.00000135447e-12,3.92994916839,0.497555504617,1e-12,1.35183464147,10.0,10.0,10.0,0.0,2.31647557153e-37,0.626895415653,0.0,4.81297784281e-19,0.791767273669,0.0,1.1613724204e-06,-0.656302456648,6.82798576127e-32,1.43649641408e-18,-1.94512812622,nan,0.8979812865550533,-0.739140959188,0.0,1.30034248193e-19,-0.176076508826,0.0,2.03651021837e-18,-1.94512812622
